Transparency Q2 - 01.07.11 to 30.09.11 as at 28.10.11,,,,,
Name,Payment category,Amount,Department,Document no.,Post code
FRENCH & SON,Education HTS Transport,"£1,509","Economy, Transport & Environment",7000782572,TN21
FRENCH & SON,Education HTS Transport,"£1,747","Economy, Transport & Environment",7000782573,TN21
FURNITURE@WORK LTD,Management & Administration,"£1,702",Adult Social Care,4500541680,G2 4
FWT STUDIOS LTD,Passenger Services,£762,"Economy, Transport & Environment",4500523901,CR4 
FWT STUDIOS LTD,Passenger Services,"£2,160","Economy, Transport & Environment",4500538064,CR4 
G MARSHALL,Education HTS Transport,£680,"Economy, Transport & Environment",7000781370,BN7 
G MARSHALL,Education HTS Transport,£720,"Economy, Transport & Environment",7000781371,BN7 
G MARSHALL,Education HTS Transport,£580,"Economy, Transport & Environment",7000783482,BN7 
G MARSHALL,Education HTS Transport,£640,"Economy, Transport & Environment",7000785833,BN7 
G RYDER & CO LTD,Archives & Records,"£4,602",Governance & Community Services,4500537102,MK1 
G S TRAVEL,Education HTS Transport,"£1,830","Economy, Transport & Environment",7000778323,TN39
G S TRAVEL,Education HTS Transport,"£2,342","Economy, Transport & Environment",7000778324,TN39
G S TRAVEL,Education HTS Transport,"£2,082","Economy, Transport & Environment",7000782535,TN39
G S TRAVEL,Education HTS Transport,"£1,660","Economy, Transport & Environment",7000783167,TN39
GAS MEASUREMENT INSTRUMENTS LTD,Corporate Resources Department,£734,Corporate Resources,4500527480,PA4 
GOPAK LTD,School Meals,£657,Children's Services,4500529169,CT21
GOPAK LTD,School Meals,£774,Children's Services,4500530459,CT21
GOPAK LTD,School Meals,"£2,033",Children's Services,4500538635,CT21
MPM SPECIALIST SOLUTIONS LTD,Structures Works,"£2,061","Economy, Transport & Environment",4500530549,BN43
MPM SPECIALIST SOLUTIONS LTD,Projects,"£2,754",Corporate Resources,4500535787,BN43
MPM SPECIALIST SOLUTIONS LTD,Structures Works,"£2,061","Economy, Transport & Environment",4500542020,BN43
GRANGESIDE LIMITED,Libraries,"£3,900",Governance & Community Services,4500523586,W2 1
GREENFIELD TECHNICAL SERVICES LTD,Waste Disposal,"£1,980","Economy, Transport & Environment",4500537022,TN19
GREENFIELD TECHNICAL SERVICES LTD,Waste Disposal,"£1,926","Economy, Transport & Environment",4500539257,TN19
G4S SECURITY SERVICES (UK) LTD,Libraries,£660,Children's Services,4500529409,S81 
HAMS TRAVEL,Education HTS Transport,"£4,122","Economy, Transport & Environment",7000779733,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,224","Economy, Transport & Environment",7000779734,TN5 
HAMS TRAVEL,Education HTS Transport,"£3,393","Economy, Transport & Environment",7000779735,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,704","Economy, Transport & Environment",7000779736,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,704","Economy, Transport & Environment",7000779737,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,704","Economy, Transport & Environment",7000779738,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,704","Economy, Transport & Environment",7000779739,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,458","Economy, Transport & Environment",7000779740,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,224","Economy, Transport & Environment",7000784495,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,994","Economy, Transport & Environment",7000784496,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,253","Economy, Transport & Environment",7000785827,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,253","Economy, Transport & Environment",7000785828,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,253","Economy, Transport & Environment",7000785829,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,253","Economy, Transport & Environment",7000785830,TN5 
HAMS TRAVEL,Education HTS Transport,"£2,049","Economy, Transport & Environment",7000785831,TN5 
HAMS TRAVEL,Education HTS Transport,"£3,435","Economy, Transport & Environment",7000785832,TN5 
HAMSON PARTNERSHIP LTD,Schools,£648,Corporate Resources,4500523851,RH16
HAMSON PARTNERSHIP LTD,Corporate Resources Department,"£1,234",Corporate Resources,4500523853,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,073",Corporate Resources,4500523855,RH16
HAMSON PARTNERSHIP LTD,Transport & Environment,"£1,730",Corporate Resources,4500523857,RH16
HAMSON PARTNERSHIP LTD,Projects,£815,Corporate Resources,4500525653,RH16
HAMSON PARTNERSHIP LTD,Projects,£940,Corporate Resources,4500525655,RH16
HAMSON PARTNERSHIP LTD,Corporate Resources Department,"£5,257",Corporate Resources,4500527876,RH16
HAMSON PARTNERSHIP LTD,Schools,"£2,433",Corporate Resources,4500527879,RH16
HAMSON PARTNERSHIP LTD,Projects,"£2,593",Corporate Resources,4500527880,RH16
HAMSON PARTNERSHIP LTD,Education Non-Schools,"£3,364",Corporate Resources,4500528330,RH16
HAMSON PARTNERSHIP LTD,Corporate Resources Department,"£1,124",Corporate Resources,4500528547,RH16
HAMSON PARTNERSHIP LTD,Projects,"£1,150",Corporate Resources,4500528722,RH16
HAMSON PARTNERSHIP LTD,Corporate Resources Department,"£3,555",Corporate Resources,4500528726,RH16
HAMSON PARTNERSHIP LTD,Projects,"£3,120",Corporate Resources,4500528731,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,843",Corporate Resources,4500529923,RH16
HAMSON PARTNERSHIP LTD,Schools,"£2,185",Corporate Resources,4500529927,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,774",Corporate Resources,4500529928,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,843",Corporate Resources,4500529932,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,843",Corporate Resources,4500529933,RH16
HAMSON PARTNERSHIP LTD,Schools,"£4,237",Corporate Resources,4500529937,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,911",Corporate Resources,4500529940,RH16
HAMSON PARTNERSHIP LTD,Projects,£829,Corporate Resources,4500530501,RH16
HAMSON PARTNERSHIP LTD,Projects,"£1,819",Corporate Resources,4500530503,RH16
HAMSON PARTNERSHIP LTD,Projects,"£5,340",Corporate Resources,4500530512,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,076",Corporate Resources,4500530516,RH16
HAMSON PARTNERSHIP LTD,Schools,£605,Corporate Resources,4500531111,RH16
HAMSON PARTNERSHIP LTD,Projects,"£3,595",Corporate Resources,4500534288,RH16
HAMSON PARTNERSHIP LTD,Projects,"£10,375",Corporate Resources,4500534291,RH16
HAMSON PARTNERSHIP LTD,Projects,"£6,570",Corporate Resources,4500534292,RH16
HAMSON PARTNERSHIP LTD,Projects,"£2,691",Corporate Resources,4500534293,RH16
HAMSON PARTNERSHIP LTD,Projects,"£3,510",Corporate Resources,4500534298,RH16
HAMSON PARTNERSHIP LTD,Projects,"£4,188",Corporate Resources,4500534299,RH16
HAMSON PARTNERSHIP LTD,Projects,"£4,602",Corporate Resources,4500535861,RH16
HAMSON PARTNERSHIP LTD,Schools,£759,Corporate Resources,4500536480,RH16
HAMSON PARTNERSHIP LTD,Projects,"£3,969",Corporate Resources,4500536497,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,371",Corporate Resources,4500536498,RH16
HAMSON PARTNERSHIP LTD,Schools,£535,Corporate Resources,4500536499,RH16
HAMSON PARTNERSHIP LTD,Projects,"£2,882",Corporate Resources,4500536501,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,107",Corporate Resources,4500536503,RH16
HAMSON PARTNERSHIP LTD,Projects,£730,Corporate Resources,4500536505,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,089",Corporate Resources,4500536507,RH16
HAMSON PARTNERSHIP LTD,Schools,£565,Corporate Resources,4500536509,RH16
HAMSON PARTNERSHIP LTD,Projects,"£9,288",Corporate Resources,4500536511,RH16
HAMSON PARTNERSHIP LTD,Projects,"£2,496",Corporate Resources,4500536512,RH16
HAMSON PARTNERSHIP LTD,Projects,"£3,407",Corporate Resources,4500536513,RH16
HAMSON PARTNERSHIP LTD,Projects,"£4,709",Corporate Resources,4500536515,RH16
HAMSON PARTNERSHIP LTD,Education Non-Schools,"£1,066",Corporate Resources,4500537415,RH16
HAMSON PARTNERSHIP LTD,Projects,"£2,265",Corporate Resources,4500537881,RH16
HAMSON PARTNERSHIP LTD,Schools,"£2,568",Corporate Resources,4500537883,RH16
HAMSON PARTNERSHIP LTD,Schools,£853,Corporate Resources,4500537884,RH16
HAMSON PARTNERSHIP LTD,Corporate Resources Department,"£1,420",Corporate Resources,4500537886,RH16
HAMSON PARTNERSHIP LTD,Schools,£549,Corporate Resources,4500538754,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,216",Corporate Resources,4500538793,RH16
HAMSON PARTNERSHIP LTD,Projects,"£1,856",Corporate Resources,4500538794,RH16
HAMSON PARTNERSHIP LTD,Projects,£733,Corporate Resources,4500538814,RH16
HAMSON PARTNERSHIP LTD,Projects,"£7,176",Corporate Resources,4500539359,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,286",Corporate Resources,4500539360,RH16
HAMSON PARTNERSHIP LTD,Schools,"£2,878",Corporate Resources,4500539363,RH16
HAMSON PARTNERSHIP LTD,Projects,"£3,214",Corporate Resources,4500539366,RH16
HAMSON PARTNERSHIP LTD,Projects,"£1,197",Corporate Resources,4500539370,RH16
HAMSON PARTNERSHIP LTD,Schools,"£1,489",Corporate Resources,4500539386,RH16
HAMSON PARTNERSHIP LTD,Schools,£843,Corporate Resources,4500539387,RH16
HAMSON PARTNERSHIP LTD,Schools,£921,Corporate Resources,4500539388,RH16
HAMSON PARTNERSHIP LTD,Projects,"£2,308",Corporate Resources,4500541481,RH16
HAMSON PARTNERSHIP LTD,Projects,"£1,284",Corporate Resources,4500541505,RH16
HANDCROSS & DISTRICT COMMUNITY BUS,Passenger Services,£508,"Economy, Transport & Environment",3000270764,RH17
HANDCROSS & DISTRICT COMMUNITY BUS,Passenger Services,£508,"Economy, Transport & Environment",3000270841,RH17
THE LAWRENCE & BUNGAY PARTNERSHIP,Youth Development Service Central,"£1,669",Children's Services,4500536920,TN39
HASTINGS FURNITURE SERV LTD,Grants,"£10,000",Children's Services,4500536628,TN34
HASTINGS PRINTING CO LTD,Other Services,"£6,120",Adult Social Care,4500526277,TN38
HASTINGS PRINTING CO LTD,Performance Planning & Engagement,"£4,935",Adult Social Care,4500526278,TN38
DX NETWORK SERVICES LTD,Libraries,"£1,087",Governance & Community Services,4500528299,NN3 
FIRST CALL BUSINESS COMMUNICATIONS,Corporate Resources Department,£610,Corporate Resources,4500528132,FY2 
HEMSLEY FRASER TRAINING GROUP,Major Project Team,"£1,823",Corporate Resources,4500541507,PL12
HIGH WEALD FURNITURE LTD,Rights of Way/ Countryside Management,£744,"Economy, Transport & Environment",4500533727,BN27
HIGH WEALD FURNITURE LTD,High Weald AONB Unit,"£1,642","Economy, Transport & Environment",4500537919,BN27
HIGH WEALD FURNITURE LTD,Rights of Way/ Countryside Management,"£3,348","Economy, Transport & Environment",4500538928,BN27
HOBART MANUFACTURING COMPANY LTD,School Meals,"£1,483",Children's Services,4500523063,N14 
HOBART MANUFACTURING COMPANY LTD,School Meals,"£1,483",Children's Services,4500530147,N14 
HOBART MANUFACTURING COMPANY LTD,School Meals,"£1,483",Children's Services,4500530738,N14 
HOBART MANUFACTURING COMPANY LTD,School Meals,"£4,507",Children's Services,4500530988,N14 
HOBART MANUFACTURING COMPANY LTD,School Meals,"£2,592",Children's Services,4500530989,N14 
HOBART MANUFACTURING COMPANY LTD,School Meals,"£2,592",Children's Services,4500530990,N14 
HOBART MANUFACTURING COMPANY LTD,School Meals,"£3,120",Children's Services,4500537171,N14 
HOBART MANUFACTURING COMPANY LTD,School Meals,"£2,592",Children's Services,4500537832,N14 
HOBART MANUFACTURING COMPANY LTD,School Meals,"£2,592",Children's Services,4500539318,N14 
HORNTYE PARK SPORTS COMPLEX,Training,"£1,091",Adult Social Care,4500537529,TN34
HW CONSULTING ENGINEERS,Projects,"£1,027",Corporate Resources,4500536665,TN31
HW CONSULTING ENGINEERS,Projects,£743,Corporate Resources,4500536714,TN31
HW CONSULTING ENGINEERS,Projects,£867,Corporate Resources,4500537140,TN31
INSIGHT DIRECT (UK) LTD,Projects,"£1,664",Corporate Resources,4500510757,UB8 
INSIGHT DIRECT (UK) LTD,Projects,£531,Corporate Resources,4500527005,UB8 
INSIGHT DIRECT (UK) LTD,Projects,"£3,578",Corporate Resources,4500528342,UB8 
INSIGHT DIRECT (UK) LTD,Projects,"£1,162",Corporate Resources,4500531853,UB8 
INSIGHT DIRECT (UK) LTD,Projects,"£3,378",Corporate Resources,4500531855,UB8 
INSIGHT DIRECT (UK) LTD,Registration,"£2,307",Governance & Community Services,4500532550,UB8 
INSIGHT DIRECT (UK) LTD,Projects,£579,Corporate Resources,4500533190,UB8 
INSIGHT DIRECT (UK) LTD,Projects,£753,Corporate Resources,4500533194,UB8 
INSIGHT DIRECT (UK) LTD,Projects,"£1,212",Corporate Resources,4500533695,UB8 
INSIGHT DIRECT (UK) LTD,Projects,£554,Corporate Resources,4500533696,UB8 
INSIGHT DIRECT (UK) LTD,Projects,"£1,542",Corporate Resources,4500534935,UB8 
INSIGHT DIRECT (UK) LTD,Projects,£743,Corporate Resources,4500535028,UB8 
INSIGHT DIRECT (UK) LTD,Projects,"£3,269",Corporate Resources,4500535249,UB8 
INSIGHT DIRECT (UK) LTD,Projects,£619,Corporate Resources,4500535594,UB8 
INSIGHT DIRECT (UK) LTD,Environment,£507,"Economy, Transport & Environment",4500537227,UB8 
INSIGHT DIRECT (UK) LTD,Projects,£679,Corporate Resources,4500537228,UB8 
INSIGHT MEDIA INTERNET LTD,Libraries,"£1,037",Governance & Community Services,4500522236,WA1 
IOSH SERVICES LTD,Personnel,£528,Children's Services,4500528040,LE18
IOSH SERVICES LTD,Personnel,£508,Children's Services,4500528041,LE18
IOSH SERVICES LTD,Organisational Development,£528,Children's Services,4500531617,LE18
IOSH SERVICES LTD,Organisational Development,£508,Children's Services,4500531620,LE18
SERCO  LIMITED,CBOSS,"£300,327",Corporate Resources,4500522771,B30 
SERCO  LIMITED,Personnel & Training,£504,Governance & Community Services,4500522777,B30 
SERCO  LIMITED,CBOSS,"£1,512",Corporate Resources,4500522780,B30 
SERCO  LIMITED,CBOSS,£757,Corporate Resources,4500522806,B30 
SERCO  LIMITED,CBOSS,"£1,165",Corporate Resources,4500523098,B30 
SERCO  LIMITED,Personnel & Training,"£3,345",Governance & Community Services,4500523099,B30 
SERCO  LIMITED,Audit & Performance,"£1,610",Corporate Resources,4500523850,B30 
SERCO  LIMITED,CBOSS,£614,Corporate Resources,4500525389,B30 
SERCO  LIMITED,CBOSS,"£1,172",Corporate Resources,4500525393,B30 
SERCO  LIMITED,Service Level Agreements,"£1,477",Children's Services,4500525394,B30 
SERCO  LIMITED,Personnel & Training,"£1,228",Governance & Community Services,4500528307,B30 
SERCO  LIMITED,"Economy, Transport & Environment Dept","£1,126","Economy, Transport & Environment",4500528320,B30 
SERCO  LIMITED,Personnel & Training,"£3,345",Governance & Community Services,4500528324,B30 
SERCO  LIMITED,CBOSS,"£1,512",Corporate Resources,4500528325,B30 
SERCO  LIMITED,CBOSS,£757,Corporate Resources,4500528326,B30 
SERCO  LIMITED,Personnel & Training,£504,Governance & Community Services,4500528328,B30 
SERCO  LIMITED,CBOSS,"£1,840",Corporate Resources,4500528336,B30 
SERCO  LIMITED,CBOSS,"£301,910",Corporate Resources,4500528338,B30 
SERCO  LIMITED,Finance,"£4,828",Adult Social Care,4500528605,B30 
SERCO  LIMITED,Service Level Agreements,"£1,509",Children's Services,4500529385,B30 
SERCO  LIMITED,Access East Sussex (AES),"£4,393",Corporate Resources,4500531035,B30 
SERCO  LIMITED,CBOSS,"£1,965",Corporate Resources,4500531036,B30 
SERCO  LIMITED,Personnel & Training,"£1,311",Governance & Community Services,4500531037,B30 
SERCO  LIMITED,CBOSS,"£13,538",Corporate Resources,4500531569,B30 
SERCO  LIMITED,CBOSS,"£4,841",Corporate Resources,4500531572,B30 
SERCO  LIMITED,Personnel & Training,"£3,345",Governance & Community Services,4500533012,B30 
SERCO  LIMITED,Personnel & Training,£504,Governance & Community Services,4500533013,B30 
SERCO  LIMITED,CBOSS,"£1,512",Corporate Resources,4500533014,B30 
SERCO  LIMITED,CBOSS,£757,Corporate Resources,4500533015,B30 
SERCO  LIMITED,CBOSS,"£301,844",Corporate Resources,4500533016,B30 
SERCO  LIMITED,Personnel & Training,"£2,771",Governance & Community Services,4500535441,B30 
SERCO  LIMITED,CBOSS,"£1,570",Corporate Resources,4500536709,B30 
J AKEHURST T/AS PLANT HIRE,Waste Disposal,"£2,216","Economy, Transport & Environment",4500525849,TN40
J AKEHURST T/AS PLANT HIRE,Waste Disposal,"£2,216","Economy, Transport & Environment",4500537604,TN40
COODEN BEACH HOTEL,Personnel,"£1,331",Children's Services,4500530771,TN39
COODEN BEACH HOTEL,Projects,£893,Corporate Resources,4500534642,TN39
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£2,232","Economy, Transport & Environment",7000778327,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,800","Economy, Transport & Environment",7000778328,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,440","Economy, Transport & Environment",7000778329,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,508","Economy, Transport & Environment",7000778330,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,530","Economy, Transport & Environment",7000778331,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,344","Economy, Transport & Environment",7000779723,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,040","Economy, Transport & Environment",7000782540,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,860","Economy, Transport & Environment",7000782541,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,440","Economy, Transport & Environment",7000782542,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,230","Economy, Transport & Environment",7000782543,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,500","Economy, Transport & Environment",7000782544,BN27
JAYLINE DRIVERS ASSOCIATION,Education HTS Transport,"£1,184","Economy, Transport & Environment",7000783173,BN27
JAYLINE TAXIS,Education HTS Transport,"£1,132","Economy, Transport & Environment",7000779900,BN27
JAYLINE TAXIS,Education HTS Transport,£551,"Economy, Transport & Environment",7000782580,BN27
JAYLINE TAXIS,Education HTS Transport,"£1,260","Economy, Transport & Environment",7000782581,BN27
KENT COUNTY SUPPLIES,ICT Unit,"£1,004",Corporate Resources,4000593285,ME19
KENT COUNTY SUPPLIES,Eastbourne GSSG,£662,Children's Services,4000603463,ME19
KENT COUNTY SUPPLIES,Sussex Downs & Weald PCT,£765,Adult Social Care,4500522613,ME19
KENT COUNTY SUPPLIES,ICT Unit,£878,Corporate Resources,4500526260,ME19
KENT COUNTY SUPPLIES,Eastbourne GSSG,"£1,008",Children's Services,4500527728,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£30,073",Corporate Resources,4500529161,ME19
KENT COUNTY SUPPLIES,"Hastings, Bexhill & Rother PCT","£1,056",Adult Social Care,4500529198,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,336",Corporate Resources,4500529584,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£29,987",Corporate Resources,4500529630,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£2,619",Corporate Resources,4500529633,ME19
KENT COUNTY SUPPLIES,ICT Unit,£795,Corporate Resources,4500529642,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£2,940",Corporate Resources,4500529644,ME19
KENT COUNTY SUPPLIES,ICT Unit,£789,Corporate Resources,4500529649,ME19
KENT COUNTY SUPPLIES,ICT Unit,£877,Corporate Resources,4500529658,ME19
KENT COUNTY SUPPLIES,Wealden GSSG,£564,Children's Services,4500529977,ME19
KENT COUNTY SUPPLIES,YDS West Wealden Core,£540,Children's Services,4500530904,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,992",Corporate Resources,4500531321,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£3,174",Corporate Resources,4500531322,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£4,172",Corporate Resources,4500532749,ME19
KENT COUNTY SUPPLIES,ICT Unit,£898,Corporate Resources,4500532755,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,954",Corporate Resources,4500532756,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,058",Corporate Resources,4500532788,ME19
KENT COUNTY SUPPLIES,Eastbourne Downs PCT,"£1,071",Adult Social Care,4500532907,ME19
KENT COUNTY SUPPLIES,ICT Unit,£587,Corporate Resources,4500535197,ME19
KENT COUNTY SUPPLIES,ICT Unit,£660,Corporate Resources,4500535663,ME19
KENT COUNTY SUPPLIES,ICT Unit,£685,Corporate Resources,4500535668,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,331",Corporate Resources,4500535670,ME19
KENT COUNTY SUPPLIES,ICT Unit,£518,Corporate Resources,4500535674,ME19
KENT COUNTY SUPPLIES,ICT Unit,£518,Corporate Resources,4500535679,ME19
KENT COUNTY SUPPLIES,ICT Unit,£518,Corporate Resources,4500535680,ME19
KENT COUNTY SUPPLIES,ICT Unit,£926,Corporate Resources,4500535683,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,359",Corporate Resources,4500535691,ME19
KENT COUNTY SUPPLIES,ICT Unit,£855,Corporate Resources,4500535692,ME19
KENT COUNTY SUPPLIES,ICT Unit,£648,Corporate Resources,4500535694,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£3,273",Corporate Resources,4500535697,ME19
KENT COUNTY SUPPLIES,ICT Unit,£867,Corporate Resources,4500536335,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£25,926",Corporate Resources,4500536339,ME19
KENT COUNTY SUPPLIES,ICT Unit,£904,Corporate Resources,4500536467,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,323",Corporate Resources,4500536469,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£11,504",Corporate Resources,4500537006,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£2,520",Corporate Resources,4500537008,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,353",Corporate Resources,4500537012,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£2,033",Corporate Resources,4500537013,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£1,587",Corporate Resources,4500537014,ME19
KENT COUNTY SUPPLIES,ICT Unit,"£3,171",Corporate Resources,4500537018,ME19
KENT COUNTY SUPPLIES,"Hastings, Bexhill & Rother PCT",£528,Adult Social Care,4500537266,ME19
KENT COUNTY SUPPLIES,"Hastings, Bexhill & Rother PCT",£705,Adult Social Care,4500537533,ME19
KENT COUNTY SUPPLIES,AC&M Hospital Teams,£541,Adult Social Care,4500538103,ME19
KENT COUNTY SUPPLIES,LD Respite Services,£801,Adult Social Care,4500538106,ME19
KENT COUNTY SUPPLIES,"Hastings, Bexhill & Rother PCT",£770,Adult Social Care,4500538107,ME19
KENT COUNTY SUPPLIES,Wealden GSSG,£539,Children's Services,4500539189,ME19
KENT COUNTY SUPPLIES,Eastbourne GSSG,"£1,404",Children's Services,4500540767,ME19
KENT COUNTY SUPPLIES,Passenger Services,"£17,695","Economy, Transport & Environment",4500541330,ME19
KINGFISHER TRAVEL,Education HTS Transport,"£2,288","Economy, Transport & Environment",7000779887,BN8 
KINGFISHER TRAVEL,Education HTS Transport,"£1,907","Economy, Transport & Environment",7000785817,BN8 
KINGKRAFT LIMITED,"Hastings, Bexhill & Rother PCT","£3,972",Adult Social Care,4500523052,S13 
KPS CONTRACTORS LTD,Head Office,£792,"Economy, Transport & Environment",4500527957,RH17
KPS CONTRACTORS LTD,Head Office,"£1,152","Economy, Transport & Environment",4500527958,RH17
LANSDOWNE HOTEL,Grants,£900,Children's Services,4500531031,BN21
LAWSON COMMERCIAL,Language and Learning Support & Tuition,"£3,563",Children's Services,4000590263,TN22
FIVEBYFIVE PEOPLE,Head Office,"£1,239","Economy, Transport & Environment",4500523297,SO15
FIVEBYFIVE PEOPLE,Highways,"£1,601","Economy, Transport & Environment",4500523879,SO15
FIVEBYFIVE PEOPLE,Highways,£910,"Economy, Transport & Environment",4500523881,SO15
FIVEBYFIVE PEOPLE,Highways,£607,"Economy, Transport & Environment",4500523893,SO15
FIVEBYFIVE PEOPLE,Projects,£988,Corporate Resources,4500524211,SO15
FIVEBYFIVE PEOPLE,Highways,"£1,601","Economy, Transport & Environment",4500525818,SO15
FIVEBYFIVE PEOPLE,Highways,£910,"Economy, Transport & Environment",4500525819,SO15
FIVEBYFIVE PEOPLE,Highways,£550,"Economy, Transport & Environment",4500525833,SO15
FIVEBYFIVE PEOPLE,Road Safety,"£1,579","Economy, Transport & Environment",4500526659,SO15
FIVEBYFIVE PEOPLE,Legal & Democratic,£683,Governance & Community Services,4500526686,SO15
FIVEBYFIVE PEOPLE,Head Office,£749,"Economy, Transport & Environment",4500527909,SO15
FIVEBYFIVE PEOPLE,Head Office,£902,"Economy, Transport & Environment",4500531511,SO15
FIVEBYFIVE PEOPLE,Planning,"£2,134","Economy, Transport & Environment",4500531517,SO15
FIVEBYFIVE PEOPLE,Head Office,£582,"Economy, Transport & Environment",4500531748,SO15
FIVEBYFIVE PEOPLE,Head Office,£505,"Economy, Transport & Environment",4500531760,SO15
FIVEBYFIVE PEOPLE,Head Office,£818,"Economy, Transport & Environment",4500531761,SO15
FIVEBYFIVE PEOPLE,Projects,£818,Corporate Resources,4500531762,SO15
FIVEBYFIVE PEOPLE,Highways,£606,"Economy, Transport & Environment",4500531767,SO15
FIVEBYFIVE PEOPLE,Planning,"£1,143","Economy, Transport & Environment",4500532118,SO15
FIVEBYFIVE PEOPLE,Projects,£901,Corporate Resources,4500533588,SO15
FIVEBYFIVE PEOPLE,Projects,£844,Corporate Resources,4500534048,SO15
FIVEBYFIVE PEOPLE,Personnel & Training,"£7,207",Governance & Community Services,4500534424,SO15
FIVEBYFIVE PEOPLE,Personnel & Training,"£7,029",Governance & Community Services,4500534427,SO15
FIVEBYFIVE PEOPLE,Head Office,"£1,133","Economy, Transport & Environment",4500534494,SO15
FIVEBYFIVE PEOPLE,Planning,£725,"Economy, Transport & Environment",4500534496,SO15
FIVEBYFIVE PEOPLE,Planning,£520,"Economy, Transport & Environment",4500535200,SO15
FIVEBYFIVE PEOPLE,Head Office,£989,"Economy, Transport & Environment",4500537803,SO15
FIVEBYFIVE PEOPLE,Rights of Way/ Countryside Management,£520,"Economy, Transport & Environment",4500537812,SO15
FIVEBYFIVE PEOPLE,Road Safety,"£1,282","Economy, Transport & Environment",4500537830,SO15
LEONA DANIEL SOLICITORS,Children's Integrated Services Central,"£1,752",Children's Services,4500530097,BN6 
LEXIS NEXIS,Legal & Democratic,£567,Governance & Community Services,4500538021,SM2 
LGIU,Maintenance Team,"£1,800",Corporate Resources,4500538878,WC1H
LINDEN LODGE KENNELS,Other Older People's Services,£543,Adult Social Care,4500529064,BN27
LEX AUTOLEASE LTD,Fleet Management,"£2,457","Economy, Transport & Environment",4500522954,BL9 
LEX AUTOLEASE LTD,Fleet Management,£622,"Economy, Transport & Environment",4500522957,BL9 
LEX AUTOLEASE LTD,Fleet Management,"£1,914","Economy, Transport & Environment",4500523190,BL9 
LEX AUTOLEASE LTD,Fleet Management,"£2,565","Economy, Transport & Environment",4500525875,BL9 
LEX AUTOLEASE LTD,Fleet Management,"£4,324","Economy, Transport & Environment",4500525878,BL9 
LEX AUTOLEASE LTD,Fleet Management,£622,"Economy, Transport & Environment",4500526588,BL9 
